,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
2001,3,32,2017,44884,2,1,219,10,1,23.7,48,5,2,531599
2002,4,217,2018,23261,0,1,221,10,1,19.8,40,5,2,654099
2003,14,301,2019,34664,0,1,217,10,0,17.6,60,7,2,1606599
2004,8,536,2017,65693,1,1,257,10,0,24.3,48,5,2,738199
2005,8,75,2019,50411,0,1,256,10,1,23.1,35,5,2,477999
2006,2,185,2017,45723,0,1,217,10,0,23.0,52,5,2,808699
2007,8,199,2018,12584,0,1,226,10,1,16.2,40,5,2,419599
2008,8,199,2019,33657,0,1,233,10,1,16.2,40,5,2,429899
2009,4,610,2016,40612,0,1,225,10,1,17.2,45,5,2,653799
2010,8,179,2020,25037,0,1,253,10,1,21.2,37,5,2,832799
2011,8,199,2019,25995,0,1,228,10,1,16.2,40,5,2,439699
2012,3,111,2019,58303,0,1,226,10,1,17.4,40,5,2,1019599
2013,6,425,2020,58241,0,0,223,10,0,18.0,50,5,2,1575799
2014,13,388,2020,38521,0,0,235,10,1,16.2,55,5,2,1148099
2015,4,208,2018,97486,0,1,217,10,1,19.8,40,5,2,661499
2016,4,518,2018,77776,0,1,226,10,1,17.4,45,5,2,876699
2017,4,348,2019,7277,0,1,222,10,1,20.3,35,5,2,571299
2018,14,486,2018,21562,1,1,254,10,1,23.8,35,5,2,544099
2019,8,458,2017,54754,1,1,233,10,1,20.4,42,5,2,562399
2020,12,474,2020,59044,0,1,228,10,1,20.0,40,7,2,675999
2021,4,214,2017,37453,0,1,228,10,1,18.6,45,5,2,614199
2022,8,79,2017,97715,1,0,216,10,1,23.1,35,5,2,448299
2023,4,499,2020,72807,0,1,226,10,1,17.5,45,5,2,792999
2024,2,372,2019,23027,0,1,223,10,1,18.5,42,5,2,600299
2025,14,485,2018,44296,1,1,256,10,1,27.3,35,5,2,472299
2026,8,373,2017,16243,0,1,234,10,1,14.0,45,5,2,319199
2027,4,208,2019,38670,1,1,225,10,1,19.8,40,5,2,739349
2028,3,317,2019,23006,0,1,223,10,1,18.7,40,5,2,693399
2029,13,397,2018,81658,0,0,216,10,0,14.2,80,7,2,1061499
2030,4,226,2016,52036,1,1,226,10,1,21.1,32,5,2,310999
2031,8,553,2016,12427,0,1,216,10,1,20.5,35,5,2,459999
2032,4,349,2019,10437,0,0,220,10,1,20.0,35,5,2,598299
2033,8,458,2017,53789,0,1,223,10,1,20.4,42,5,2,562399
2034,12,338,2019,53257,0,0,221,10,1,22.0,28,5,2,470999
2035,4,273,2013,65447,1,1,222,10,1,18.9,43,5,2,430999
2036,8,458,2017,57997,0,1,223,10,1,20.4,42,5,2,570199
2037,12,337,2016,36375,1,1,256,10,1,25.0,28,5,2,345299
2038,4,349,2020,11043,0,0,222,10,1,20.0,35,5,2,621699
2039,8,199,2018,11698,0,1,235,10,1,16.2,40,5,2,432899
2040,4,349,2019,7499,0,0,226,10,1,20.0,35,5,2,598299
2041,4,600,2013,86560,0,1,231,10,1,20.6,35,5,2,380499
2042,8,540,2017,56086,0,1,223,10,0,24.3,48,5,2,852299
2043,4,208,2016,38604,1,1,235,10,1,18.6,45,5,2,652999
2044,8,199,2018,12638,0,1,225,10,1,16.2,40,5,2,427899
2045,8,556,2018,6662,0,0,232,10,1,20.5,35,5,2,519199
2046,3,37,2019,24072,0,1,225,10,1,19.5,35,5,2,763399
2047,8,178,2018,18105,0,0,225,10,1,21.2,37,5,2,746199
2048,15,589,2021,16583,0,0,228,10,1,15.8,60,5,2,1101999
2049,8,51,2016,24830,1,1,223,10,1,21.4,37,5,2,587599
2050,3,37,2019,38172,0,1,224,10,1,19.5,35,5,2,755899
2051,16,41,2016,61496,0,1,224,10,1,17.8,45,5,2,519099
2052,4,349,2019,13222,0,0,217,10,1,20.0,35,5,2,576899
2053,5,127,2017,47324,0,1,228,10,0,17.1,60,5,2,1563699
2054,4,226,2015,33012,0,1,220,10,1,21.1,32,5,2,314399
2055,8,70,2015,46893,0,0,242,10,1,23.1,35,5,2,418899
2056,8,560,2014,78515,0,1,225,10,1,20.5,35,5,2,342399
2057,10,292,2020,26019,1,0,228,10,1,14.0,60,5,2,1674799
2058,12,473,2019,38761,0,1,225,10,1,20.0,40,7,2,616799
2059,8,9,2019,61268,0,1,236,10,1,24.7,35,5,2,312649
2060,3,36,2019,39609,0,0,221,10,1,18.3,35,5,2,759099
2061,3,113,2020,9527,1,1,236,10,1,17.4,40,5,2,1164699
2062,8,9,2016,59781,1,1,225,10,1,24.7,35,5,2,281599
2063,8,9,2013,73282,0,1,223,10,1,22.7,35,5,2,263199
2064,6,429,2020,91521,0,1,232,10,1,16.1,50,5,2,1530399
2065,4,499,2020,27214,0,1,223,10,1,17.5,45,5,2,803899
2066,4,216,2019,19993,0,1,220,10,1,20.0,40,5,2,691699
2067,4,145,2019,60517,0,1,225,10,0,19.7,55,5,2,1254699
2068,12,337,2016,60983,1,1,220,10,1,25.0,28,5,2,334699
2069,8,199,2019,12539,0,1,222,10,1,16.2,40,5,2,482899
2070,4,226,2016,34890,0,1,256,10,1,21.1,32,5,2,332099
2071,12,331,2018,40397,2,1,222,10,1,23.0,28,5,2,387499
2072,8,9,2016,72917,0,1,228,10,1,24.7,35,5,2,285199
2073,8,68,2014,62854,2,1,228,10,1,23.1,35,5,2,347699
2074,3,112,2020,19513,0,0,225,10,1,17.4,40,5,2,1428499
2075,8,553,2013,40283,1,1,224,10,1,15.0,35,5,2,339899
2076,8,172,2018,90784,0,1,233,10,1,21.2,37,5,2,599199
2077,4,518,2018,37433,0,1,219,10,1,17.4,45,5,2,892299
2078,2,192,2016,54960,1,1,246,10,1,15.8,52,5,2,623099
2079,8,553,2011,62227,0,1,235,10,1,15.0,35,5,2,307799
2080,8,179,2019,31946,0,1,231,10,1,21.2,37,5,2,715999
2081,3,317,2016,56311,0,1,223,10,1,18.7,40,5,2,569099
2082,8,88,2020,40410,0,1,233,10,1,21.6,43,5,2,867199
2083,4,496,2019,12730,1,1,217,10,1,18.2,45,5,2,1086099
2084,3,58,2015,31054,0,1,223,10,1,19.4,35,5,2,413299
2085,4,156,2020,8158,0,1,219,10,1,15.8,55,5,2,1430499
2086,8,461,2018,24042,1,1,217,10,1,20.4,42,5,2,610599
2087,3,108,2018,50426,1,1,231,10,1,17.4,40,5,2,851299
2088,12,474,2019,30345,0,1,254,10,1,20.0,40,7,2,669199
2089,2,189,2015,61741,1,0,221,10,1,15.6,52,5,2,637199
2090,8,51,2016,33230,0,1,224,10,1,21.4,37,5,2,615099
2091,4,598,2015,42653,0,1,220,10,1,19.8,35,5,2,377199
2092,3,58,2015,63331,1,1,223,10,1,19.4,35,5,2,406499
2093,8,44,2017,27869,1,1,228,10,1,21.4,37,5,2,639199
2094,16,508,2016,89382,1,1,228,10,1,16.1,55,5,2,638999
2095,8,9,2016,20631,1,1,220,10,1,24.7,35,5,2,294899
2096,2,191,2015,60128,1,1,231,10,0,22.7,52,5,2,551999
2097,8,368,2020,45672,0,1,256,10,1,20.5,32,5,2,576999
2098,14,469,2017,60361,0,1,255,10,1,20.3,35,5,2,499699
2099,12,474,2019,28230,0,1,216,10,1,20.0,40,7,2,728399
2100,10,290,2020,51844,0,1,226,10,0,17.4,60,5,2,1684699
2101,4,220,2017,34685,0,1,223,10,1,18.6,45,5,2,605999
2102,4,142,2017,75764,0,1,224,10,0,19.7,60,5,2,1129199
2103,4,226,2016,21103,2,1,231,10,1,21.1,32,5,2,304699
2104,12,474,2019,22149,0,1,227,10,1,20.0,40,7,2,689799
2105,4,345,2021,9349,0,1,221,10,1,20.0,37,5,2,937399
2106,12,475,2020,13066,1,0,232,10,1,18.2,40,7,2,652599
2107,8,171,2018,50066,0,0,217,10,0,28.4,37,5,2,726399
2108,4,202,2019,14590,0,1,221,10,1,20.0,40,5,2,716499
2109,8,453,2018,52365,1,1,225,10,1,22.0,37,5,2,541499
2110,16,506,2015,61755,2,0,221,10,1,18.2,55,5,2,580099
2111,3,315,2017,51000,1,1,236,10,1,18.7,40,5,2,540699
2112,3,32,2013,64754,1,1,225,10,1,18.0,35,5,2,401899
2113,8,536,2016,50552,0,1,226,10,0,24.3,48,5,2,787999
2114,8,70,2015,52123,1,0,220,10,1,23.1,35,5,2,409899
2115,12,331,2021,13867,0,1,222,10,1,23.0,28,5,2,529699
2116,8,461,2016,44594,0,1,217,10,1,20.4,42,5,2,545699
2117,3,58,2014,74402,1,1,217,10,1,19.4,35,5,2,379799
2118,3,315,2016,44405,0,1,228,10,1,18.7,40,5,2,581699
2119,14,485,2018,12081,0,1,244,10,1,27.3,35,5,2,496299
2120,8,9,2013,49115,1,1,225,10,1,22.7,35,5,2,235099
2121,3,112,2019,31688,0,0,217,10,1,18.0,40,5,2,1199999
