,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
94,Maruti,Ciaz SIGMA 1.4 VVT,2017,43152,1st Owner,MANUAL,MH-12,MH,Petrol,20.7,43,5,Pune,746799
95,Volkswagen,Vento HIGHLINE TDI AT,2016,73448,1st Owner,AUTOMATIC,MH-14,MH,Diesel,20.6,55,5,Pune,777699
96,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,2020,18548,1st Owner,AUTOMATIC,MH-14,MH,Petrol,14.8,52,5,Pune,1139399
97,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,2018,88024,2nd Owner,MANUAL,MH-14,MH,Diesel,24.3,48,5,Pune,866399
98,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,2018,20130,1st Owner,MANUAL,MH-14,MH,Petrol,18.9,43,5,Pune,568599
99,Maruti,Alto VXI,2021,7285,1st Owner,MANUAL,MH-12,MH,Petrol,22.1,35,5,Pune,456799
100,Maruti,Baleno DELTA 1.2 K12,2018,61784,1st Owner,MANUAL,MH-43,MH,Petrol,21.4,37,5,Pune,603899
101,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2016,97021,2nd Owner,AUTOMATIC,MH-46,MH,Diesel,17.0,60,5,Pune,930799
102,Maruti,Dzire VXI,2018,51798,1st Owner,MANUAL,MH-48,MH,Petrol + CNG,21.2,37,5,Pune,704199
103,Maruti,Baleno DELTA 1.2 K12,2017,24251,1st Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,600899
104,Maruti,S PRESSO VXI,2021,18488,1st Owner,MANUAL,MH-14,MH,Petrol,21.7,27,5,Pune,461299
105,Hyundai,Elite i20 1.2  ASTA (O) CVT,2019,9902,2nd Owner,AUTOMATIC,MH-03,MH,Petrol,23.8,35,5,Pune,887399
106,Toyota,Glanza G MT PETROL,2021,16222,1st Owner,MANUAL,MH-12,MH,Petrol,22.4,37,5,Pune,803599
107,Maruti,Alto K10 VXI,2015,67238,1st Owner,MANUAL,MH-12,MH,Petrol,24.1,35,5,Pune,332799
108,Honda,CRV 2.0 2WD AT,2015,69255,1st Owner,AUTOMATIC,MH-02,MH,Petrol,13.7,58,5,Pune,1091199
109,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2018,52588,2nd Owner,MANUAL,MH-12,MH,Petrol + CNG,19.8,43,5,Pune,551599
110,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,2016,67951,2nd Owner,AUTOMATIC,MH-47,MH,Petrol,15.3,60,5,Pune,1010599
111,Maruti,Wagon R 1.0 VXI AMT,2016,33177,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,20.5,35,5,Pune,440099
112,Honda,Civic 1.8V AT,2019,6045,2nd Owner,AUTOMATIC,MH-02,MH,Petrol,13.9,50,5,Pune,1492899
113,Hyundai,Elite i20 1.2  ASTA (O) CVT,2019,7022,1st Owner,AUTOMATIC,MH-12,MH,Petrol,23.8,35,5,Pune,921299
114,Tata,ALTROZ XZ 1.2,2021,6346,1st Owner,MANUAL,MH-12,MH,Petrol,18.5,37,5,Pune,834999
115,Maruti,Wagon R 1.0 LXI CNG,2014,69411,1st Owner,MANUAL,MH-14,MH,Petrol + CNG,26.6,35,5,Pune,408799
116,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,2019,16328,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,18.2,45,5,Pune,1122499
117,Ford,Ecosport 1.5 TITANIUM TI VCT AT,2016,53696,1st Owner,AUTOMATIC,MH-12,MH,Petrol,15.6,52,5,Pune,713799
118,Maruti,Alto 800 LXI,2018,19233,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,359699
119,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,2017,66447,1st Owner,MANUAL,MH-14,MH,Petrol,18.9,43,5,Pune,488499
120,Maruti,Alto K10 VXI,2018,15030,1st Owner,MANUAL,MH-16,MH,Petrol,24.1,35,5,Pune,374499
121,Kia,SELTOS HTK 1.5 PETROL,2019,19970,1st Owner,MANUAL,MH-12,MH,Petrol,16.8,50,5,Pune,1164699
122,Volkswagen,Vento COMFORTLINE 1.0 TSI MT,2020,65274,1st Owner,MANUAL,MH-12,MH,Petrol,17.7,55,5,Pune,949199
123,Maruti,S Cross ZETA SHVS PETROL,2021,6608,1st Owner,MANUAL,MH-12,MH,Petrol,18.5,48,5,Pune,959399
124,Maruti,Alto K10 VXI,2016,28809,1st Owner,MANUAL,MH-12,MH,Petrol,24.0,35,5,Pune,347999
125,Hyundai,Elite i20 SPORTZ 1.2,2016,63847,2nd Owner,MANUAL,MH-02,MH,Petrol,18.6,45,5,Pune,537599
126,Honda,Amaze 1.2 SMT I VTEC,2019,17156,1st Owner,MANUAL,MH-12,MH,Petrol,19.5,35,5,Pune,670299
127,Maruti,Wagon R 1.0 VXI,2017,38067,1st Owner,MANUAL,MH-05,MH,Petrol,20.5,35,5,Pune,419199
128,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,2016,68103,1st Owner,AUTOMATIC,MH-12,MH,Petrol,15.3,60,5,Pune,974199
129,Maruti,S PRESSO VXI CNG,2021,15123,1st Owner,MANUAL,MH-05,MH,Petrol + CNG,31.2,55,4,Pune,522899
130,Hyundai,Xcent SX 1.2,2016,28646,1st Owner,MANUAL,MH-05,MH,Petrol,19.1,43,5,Pune,538999
131,Honda,Amaze 1.2 SMT I VTEC,2020,12910,2nd Owner,MANUAL,MH-12,MH,Petrol,19.5,35,5,Pune,687399
132,Maruti,Alto 800 LXI,2018,41536,1st Owner,MANUAL,MH-14,MH,Petrol,24.7,35,5,Pune,310699
133,Toyota,Innova Crysta 2.7 ZX AT 7 STR,2017,91964,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,10.8,65,7,Pune,1679299
134,Maruti,Baleno DELTA 1.2 K12,2017,23007,2nd Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,585999
135,Hyundai,Elite i20 SPORTZ 1.2,2015,70031,2nd Owner,MANUAL,MH-14,MH,Petrol,18.6,45,5,Pune,516699
136,Maruti,S PRESSO VXI CNG,2021,7595,1st Owner,MANUAL,MH-14,MH,Petrol + CNG,31.2,55,4,Pune,532099
137,Maruti,Wagon R 1.0 LXI CNG,2014,67549,2nd Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,407799
138,Honda,Jazz 1.2 V MT,2018,26896,1st Owner,MANUAL,MH-46,MH,Petrol,18.7,40,5,Pune,624899
139,Hyundai,Elite i20 ASTA 1.2,2015,80464,2nd Owner,MANUAL,MH-12,MH,Petrol,18.6,45,5,Pune,519799
140,Maruti,Wagon R 1.0 LXI CNG,2014,53428,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,435599
141,Maruti,Celerio VXI CNG,2018,71933,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,31.8,60,5,Pune,531299
142,Maruti,Baleno DELTA 1.2 K12,2016,43768,2nd Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,563399
143,Hyundai,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,2018,23292,2nd Owner,AUTOMATIC,MH-14,MH,Petrol,17.5,43,5,Pune,613899
144,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2015,23930,1st Owner,MANUAL,MH-12,MH,Petrol,18.9,43,5,Pune,472899
145,Tata,NEXON XZA + 1.2 PETROL A/T,2019,4459,2nd Owner,AUTOMATIC,MH-05,MH,Petrol,17.9,44,5,Pune,863499
146,Toyota,Camry HYBRID,2017,70336,1st Owner,AUTOMATIC,MH-04,MH,Petrol,19.2,65,5,Pune,1592399
147,Maruti,Alto 800 LXI,2016,26197,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,316799
148,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2018,23439,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,19.8,43,5,Pune,576299
149,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,2015,71894,1st Owner,MANUAL,MH-12,MH,Petrol,18.9,43,5,Pune,457799
150,Kia,SELTOS HTK PLUS 1.5 DIESEL,2019,57058,1st Owner,MANUAL,MH-14,MH,Diesel,18.0,50,5,Pune,1255799
151,Maruti,Wagon R 1.0 VXI OPT,2017,20695,2nd Owner,MANUAL,MH-12,MH,Petrol,20.5,35,5,Pune,423999
152,Maruti,Alto 800 LXI,2018,11684,1st Owner,MANUAL,MH-14,MH,Petrol,24.7,35,5,Pune,340599
153,Hyundai,Verna FLUIDIC 1.6 VTVT SX AT,2014,32390,2nd Owner,AUTOMATIC,MH-02,MH,Petrol,16.6,43,5,Pune,661499
154,Maruti,Celerio VXI,2014,84997,1st Owner,MANUAL,MH-14,MH,Petrol,23.1,35,5,Pune,417199
155,Maruti,Vitara Brezza ZDI,2016,48414,1st Owner,MANUAL,MH-43,MH,Diesel,24.3,48,5,Pune,801599
156,Hyundai,Grand i10 Sportz1.2 CRDI,2017,78810,1st Owner,MANUAL,MH-14,MH,Diesel,24.0,43,5,Pune,519299
157,Maruti,Ciaz DELTA 1.4 VVT,2017,40472,1st Owner,MANUAL,MH-05,MH,Petrol,20.7,43,5,Pune,648099
158,Hyundai,NEW SANTRO ERA 1.1,2019,15865,1st Owner,MANUAL,MH-12,MH,Petrol,20.3,35,5,Pune,479899
159,Hyundai,Creta 1.6 SX AT CRDI,2018,34112,2nd Owner,AUTOMATIC,MH-43,MH,Diesel,17.0,55,5,Pune,1317599
160,Renault,Duster RXZ CVT 1.3 TURBO,2021,8006,1st Owner,AUTOMATIC,MH-12,MH,Petrol,16.4,50,5,Pune,1210899
161,Ford,Ecosport 1.5TITANIUM TDCI,2020,22460,1st Owner,MANUAL,MH-06,MH,Diesel,21.7,52,5,Pune,947399
162,Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,2019,31445,1st Owner,MANUAL,MH-14,MH,Petrol,19.8,40,5,Pune,701199
163,Maruti,Celerio ZXI OPT AMT,2018,26738,1st Owner,AUTOMATIC,MH-12,MH,Petrol,21.6,35,5,Pune,546699
164,Renault,TRIBER 1.0 RXZ,2019,17385,1st Owner,MANUAL,MH-12,MH,Petrol,20.0,40,7,Pune,697699
165,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2016,50669,1st Owner,MANUAL,MH-12,MH,Petrol,18.9,43,5,Pune,458999
166,Maruti,Celerio VXI CNG,2017,76388,1st Owner,MANUAL,MH-14,MH,Petrol + CNG,31.8,60,5,Pune,493499
167,Hyundai,AURA SX PETROL,2020,31018,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,37,5,Pune,747499
